summary_header_panel1,isKept
Image Location,1
Image Tag,1
Algorithm Name,1
Start Time,0
Job Id,1
Analysis Region,1
Analysis Inputs,0
Classified Area (mm²),1
Glass Area (mm²),1
Tissue Area (mm²),1
Total Cells,1
Opal 480 Positive Cells,1
Opal 520 Positive Cells,1
Opal 570 Positive Cells,1
Opal 620 Positive Cells,1
Opal 690 Positive Cells,1
Opal 780 Positive Cells,1
Negative Cells,1
Opal 480 Positive Nuclei,1
Opal 520 Positive Nuclei,1
Opal 570 Positive Nuclei,1
Opal 620 Positive Nuclei,1
Opal 690 Positive Nuclei,1
Opal 780 Positive Nuclei,1
Negative Nuclei,1
CD3 Cells,0
CD3 PD1 Cells,0
CD8 Cells,0
CD8 PD1 Cells,0
CD68 Cells,0
CD68 PDL1 Cells,0
Tumor Cells,0
Tumor PDL1 Cells,0
% Opal 480 Positive Cells,1
% Opal 520 Positive Cells,1
% Opal 570 Positive Cells,1
% Opal 620 Positive Cells,1
% Opal 690 Positive Cells,1
% Opal 780 Positive Cells,1
% Opal 480 Positive Nuclei,1
% Opal 520 Positive Nuclei,1
% Opal 570 Positive Nuclei,1
% Opal 620 Positive Nuclei,1
% Opal 690 Positive Nuclei,1
% Opal 780 Positive Nuclei,1
% CD3 Positive Cells,0
% CD3 PD1 Positive Cells,0
% CD8 Positive Cells,0
% CD8 PD1 Positive Cells,0
% CD68 Positive Cells,0
% CD68 PDL1 Positive Cells,0
% Tumor Positive Cells,0
% Tumor PDL1 Positive Cells,0
Opal 480 Avg Positive Nuclei Intensity,1
Opal 520 Avg Positive Nuclei Intensity,1
Opal 570 Avg Positive Nuclei Intensity,1
Opal 620 Avg Positive Nuclei Intensity,1
Opal 690 Avg Positive Nuclei Intensity,1
Opal 780 Avg Positive Nuclei Intensity,1
Opal 480 Avg Cell Intensity,1
Opal 520 Avg Cell Intensity,1
Opal 570 Avg Cell Intensity,1
Opal 620 Avg Cell Intensity,1
Opal 690 Avg Cell Intensity,1
Opal 780 Avg Cell Intensity,1
DAPI Avg Cell Intensity,1
Avg Cell Area (μm²),1
