channel_name	marker_name	marker_class	use_channel
Y89Di	BC1	state	TRUE
Ru96Di	Vol1	state	TRUE
Ru98Di	Vol2	state	TRUE
Ru99Di	Vol3	state	TRUE
Ru100Di	Vol4	state	TRUE
Ru101Di	Vol5	state	TRUE
Ru102Di	Vol6	state	TRUE
Rh103Di	BC2	state	TRUE
Ru104Di	Vol7	state	TRUE
Pd105Di	BC3	state	TRUE
Pd106Di	BC4	state	TRUE
Pd108Di	BC5	state	TRUE
Pd110Di	BC6	state	TRUE
In113Di	BC7	state	TRUE
In115Di	BC8	state	TRUE
Sn120Di	Sn120Di	none	FALSE
Ba138Di	Ba138Di	none	FALSE
La139Di	La139Di	none	FALSE
Ce140Di	Beads	state	TRUE
Pr141Di	CD64	state	TRUE
Nd142Di	CD38	state	TRUE
Nd143Di	CD68	state	TRUE
Nd144Di	CD36	state	TRUE
Nd145Di	CD197	state	TRUE
Nd146Di	CD45RA	state	TRUE
Sm147Di	CD206	state	TRUE
Nd148Di	CD20	state	TRUE
Sm149Di	CD204	state	TRUE
Nd150Di	CD123	state	TRUE
Eu151Di	CD11b	state	TRUE
Sm152Di	FOXP3	state	TRUE
Eu153Di	Slamf7	state	TRUE
Sm154Di	CTLA-4	state	TRUE
Gd155Di	CD278	state	TRUE
Gd156Di	CD93	state	TRUE
Gd157Di	Gd157Di	none	FALSE
Gd158Di	CD15	state	TRUE
Tb159Di	CD192	state	TRUE
Gd160Di	CD274	state	TRUE
Dy161Di	Tim-3	state	TRUE
Dy162Di	CD25	state	TRUE
Dy163Di	PD-1	state	TRUE
Dy164Di	CD7	state	TRUE
Ho165Di	CD4	state	TRUE
Er166Di	CD32	state	TRUE
Er167Di	CD16	state	TRUE
Er168Di	CD14	state	TRUE
Tm169Di	CD163	state	TRUE
Er170Di	CD169	state	TRUE
Yb171Di	CD86	state	TRUE
Yb172Di	HLA-DR	state	TRUE
Yb173Di	CD3	state	TRUE
Yb174Di	CD11c	state	TRUE
Lu175Di	CD8a	state	TRUE
Yb176Di	CD45	state	TRUE
Ir191Di	DNA1	state	TRUE
Ir193Di	DNA2	state	TRUE
Pt194Di	cisPt1	state	TRUE
Pt195Di	cisPt2	state	TRUE
Pb208Di	Pb208Di	none	FALSE
Bi209Di	BC9	state	TRUE
